ranking_type,rank,model_id,combo_score,relative_efficiency_score,scope_efficiency_index,cost_adjusted_scope_score,scored_tokens_per_1k,estimated_run_cost_usd
token,1,openai/gpt-5.6-terra,86.805277,100.0,27.126649,,3.2,
token,2,openai/gpt-5.6-sol,84.185631,69.427945,18.833475,,4.47,
token,3,openai/gpt-5.6-luna,84.195471,49.772159,13.501519,,6.236,
token,4,anthropic/claude-sonnet-5,83.92905,44.581706,12.093523,,6.94,
token,5,x-ai/grok-4.5,86.294344,12.468801,3.382368,,25.513,
cost,1,openai/gpt-5.6-luna,84.195471,100.0,,2622.176695,,0.032109
cost,2,openai/gpt-5.6-terra,86.805277,60.45616,,1585.267345,,0.0547575
cost,3,anthropic/claude-sonnet-5,83.92905,36.000581,,943.998847,,0.088908
cost,4,x-ai/grok-4.5,86.294344,32.78093,,859.573911,,0.100392
cost,5,openai/gpt-5.6-sol,84.185631,23.502249,,616.270498,,0.136605
