ranking_type,rank,model_id,combo_score,relative_efficiency_score,scope_efficiency_index,cost_adjusted_scope_score,scored_tokens_per_1k,estimated_run_cost_usd
token,1,openai/gpt-5.4-nano,82.430277,100.0,26.470866,,3.114,
token,2,anthropic/claude-opus-5,89.348319,17.746295,4.697598,,19.02,
token,3,moonshotai/kimi-k3,92.739476,17.654983,4.673427,,19.844,
token,4,nvidia/nemotron-3-super-120b-a12b,76.842993,11.027682,2.919123,,26.324,
token,5,google/gemini-3.5-flash-lite,78.306186,7.574067,2.004921,,39.057,
token,6,google/gemini-3.6-flash,76.808821,6.55263,1.734538,,44.282,
token,7,tencent/hy3,72.413971,5.372265,1.422085,,50.921,
token,8,openai/gpt-5.6-luna-pro,82.13967,2.03438,0.538518,,152.529,
cost,1,openai/gpt-5.4-nano,82.430277,100.0,,16180.883863,,0.0050943
cost,2,nvidia/nemotron-3-super-120b-a12b,76.842993,33.410006,,5406.034282,,0.0142143
cost,3,tencent/hy3,72.413971,21.634965,,3500.728567,,0.0206854
cost,4,google/gemini-3.5-flash-lite,78.306186,9.021794,,1459.806055,,0.0536415
cost,5,openai/gpt-5.6-luna-pro,82.13967,3.888575,,629.205789,,0.130545
cost,6,google/gemini-3.6-flash,76.808821,2.572106,,416.189544,,0.1845525
cost,7,moonshotai/kimi-k3,92.739476,2.310492,,373.857997,,0.2480607
cost,8,anthropic/claude-opus-5,89.348319,1.20671,,195.256328,,0.457595
